vaccinationCenterName,location,vaccineName,vaccinationDate,totalRegistrations,totalBoys,totalGirls
Uhc 14 Kathmandu Metropolitan City,Kalanki,Pfizer-BioNTech,2022-12-31,275,22,22
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2021-11-23,55,12,8
Uhc 14 Kathmandu Metropolitan City,Kalanki,Sinopharm,2022-08-29,447,366,79
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2022-11-10,352,191,137
Uhc 32 Kathmandu Metropolitan City,Koteshwor,AstraZeneca,2022-12-29,351,341,5
Uhc 26 Kathmandu Metropolitan City,Lainchaur,AstraZeneca,2021-03-15,321,89,48
Uhc 15 Kathmandu Metropolitan City,Dallu,Pfizer-BioNTech,2020-11-19,372,29,295
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,AstraZeneca,2022-06-20,441,80,234
Uhc 5 Kathmandu Metropolitan City,Hadigaun,AstraZeneca,2024-02-08,440,126,255
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2022-05-30,401,57,294
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Sinopharm,2022-11-16,362,115,74
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2023-10-07,489,36,350
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2021-10-20,319,292,11
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2022-03-02,484,79,162
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Pfizer-BioNTech,2021-04-14,411,61,295
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2021-12-29,153,12,12
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Johnson & Johnson,2023-04-04,459,273,69
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2023-12-19,408,373,31
Uhc 9 Kathmandu Metropolitan City,Gaushala,AstraZeneca,2023-03-08,54,53,0
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Johnson & Johnson,2023-12-07,397,68,317
Uhc 25 Kathmandu Metropolitan City,Masan Galli,AstraZeneca,2021-06-12,350,330,15
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Pfizer-BioNTech,2022-10-29,153,131,15
Uhc 1 Kathmandu Metropolitan City,Naxal,Sinopharm,2022-09-15,494,155,254
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2021-07-20,389,25,10
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2023-06-13,56,56,0
Uhc 6 Kathmandu Metropolitan City,Baudhha,Pfizer-BioNTech,2023-03-01,276,243,23
Uhc 9 Kathmandu Metropolitan City,Gaushala,Pfizer-BioNTech,2022-03-13,272,235,37
